"seller_id","delivery_quality_orders","review_quality_orders","late_delivery_rate","avg_review_score"
b39d7fe263ef469605dbb32608aee0af,40,39,0.0500,4.00
"71039d19d4303bf9054d69e9a9236699",34,34,0.2059,3.88
"3fd1e727ba94cfe122d165e176ce7967",34,34,0.2059,4.00
"2d2c62bef4c8ba0dd74e0e228e808539",16,16,0.1250,4.13
"3092c0b297aacfb4bb6e056ebe13b9b8",14,14,0.0000,4.43
"610f72e407cdd7caaa2f8167b0163fd8",15,15,0.1333,3.80
"82bd0703a4aefd6b599e5bfdaed378fb",19,19,0.0526,4.11
f5f1f2c5f923f36ad79ea1d07185ddc9,10,10,0.1000,3.70
"638cba8be1fb599bbb76fd6948351eb3",16,16,0.0000,4.69
"670a9dda115b5a88b18cfadee8de2332",11,11,0.0000,4.45
"06e5eefc71ec47ae763c5c6f8db7064f",88,86,0.0000,3.95
"5011f0d93373a4c5753adf58ca77af8d",11,11,0.0909,4.09
b92e3c8f9738272ff7c59e111e108d7c,59,59,0.0339,4.19
"431050a06a317f2b38168dec3dcd2b46",10,10,0.0000,4.50
"04e38a233f726ef161074ab1c9b0399a",19,19,0.0526,4.11
da6a60cc8cc724fe51be021ff8be779c,12,12,0.0000,4.75
"70849ca4f400aaabb62cb7462a6f1428",12,12,0.1667,4.42
"1987cd4be10fe09ee50454f9c354d1c6",14,14,0.0714,4.36
"4a3ca9315b744ce9f8e9374361493884",1673,1655,0.1004,3.91
f9244d45189d3a3605499abddeade7d5,20,20,0.0000,4.35
"0adac9fbd9a2b63cccaac4f8756c1ca8",103,103,0.0583,4.15
"594f9aaa48e5bf431f011ddc5669b0d5",37,37,0.0270,4.59
"99002261c568a84cce14d43fcffb43ea",35,35,0.0571,3.69
ebd2d60905fb58271facef5596b620d3,80,80,0.0375,4.24
"056b4ada5bbc2c50cc7842547dda6b51",64,63,0.1094,4.21
f262cbc1c910c83959f849465454ddd3,188,187,0.0745,4.18
fbc14c0cf93505ef89f64665ffa4a7b5,17,16,0.0588,4.13
"9d39404483343dd55c7ae254494d8388",10,10,0.1000,3.50
"406822777a0b9eb5c50e442dd4cd3ec5",44,43,0.1136,4.33
ceaec5548eefc6e23e6607c5435102e7,197,194,0.0508,4.20
d379f449f2a3b271bc01c0782020f705,27,27,0.0370,4.00
ce69a8021d18961dd2a40269b7c2c293,18,18,0.0556,4.67
"002100f778ceb8431b7a1020ff7ab48f",48,48,0.1875,4.00
"8b321bb669392f5163d04c59e235e066",917,913,0.0872,4.12
"67bf6941ba2f1fa1d02c375766bc3e53",15,15,0.0667,4.33
"6d803cb79cc31c41c4c789a75933b3c7",58,58,0.0690,4.25
dbb9b48c841a0e39e21f98e1a6b2ec3e,103,103,0.0388,4.30
"51e4e89242cbb846c2deff3dc015650e",16,16,0.0000,4.63
cfa5ab0e4d3fc212fd0b3410e7081c62,14,14,0.0000,4.07
"68f86ba270525243e68ae74044f992b9",10,10,0.0000,4.50
a5a1bfcf728ab0e19182959cf0771ee4,19,19,0.0526,4.32
"2199e7fe213c16213bf5d6a7eadc9a5d",24,24,0.0417,4.38
e7d5b006eb624f13074497221eb37807,28,28,0.0714,3.93
cac4c8e7b1ca6252d8f20b2fc1a2e4af,69,68,0.1739,3.68
c9c7905cffc4ef9ff9f113554423e671,125,125,0.0800,4.15
"88460e8ebdecbfecb5f9601833981930",227,226,0.1850,3.52
"89bc797e2e29667aa035d4368f9b7f92",16,16,0.1875,3.88
